dog,height,weight,lifespan,areaOfOrigin
boston-bull,6-11,38-43,12–15,UnitedStates
dingo,48-58.5,23-32,16-20,Australia
pekinese,19-25,3.2-6.4,12-15,China
bluetick,56-59,25-36,11-12,Louisiana
golden-retriever,56-61,27-36,10-12,Scotland
bedlington-terrier,41-43,8-10,14-16,UnitedKingdom
borzoi,71,34-48,10-12,Russia
basenji,41-43,10-12,10-12,DemocraticRepublicoftheCongo
scottish-deerhound,71-81,34-50,8-10,Scotland
shetland-sheepdog,33-41,6-12,12-14,Scotland
walker-hound,23–32,56–69,12-13,UnitedStates
maltese-dog,21–25,3–4,12-15,MediterraneanBasin
norfolk-terrier,25,4½-5½,12-15,UnitedKingdom
african-hunting-dog,22,92,10-14,Africa
wire-haired-fox-terrier,36–41,7–9,13-14,England
redbone,56–68,23–32,11-12,UnitedStates
lakeland-terrier,36.8,7.7,12-16,England
boxer,56-63,29.5,10-12,Germany
doberman,66–72,40–45,10-13,Germany
otterhound,69,41-50,10-13,England
standard-schnauzer,47–50,14–20,13-16,Germany
irish-water-spaniel,56–61,25–30,10-12,Ireland
black-and-tan-coonhound,58–64,25–32,10-12,UnitedStates
cairn,25–33,6–8,12-15,Scotland
affenpinscher,23-30,2.9-6,12-14,Germany
labrador-retriever,56-61,27-34,10-12,England
ibizan-hound,56-74,20–24,12-14,Spain
english-setter,61-69,25-36,10-12,England
weimaraner,61-69,25-32,10-12,Germany
giant-schnauzer,66-71,27-48,10-12,Germany
groenendael,56–62,20–25,13-14,Belgium
dhole,,,,
toy-poodle,24-28,3-4,14-16,Germany
border-terrier,33-41,6-7,12-15,England
tibetan-terrier,8.2-13.6,36-43,12-15,Tibet
norwegian-elkhound,48-53,23-27,10-12,Norway
shih-tzu,4-7,20-28,10-16,China
irish-terrier,43,11-12,12-15,Ireland
kuvasz,71-76,48-62,10-12,Hungary
german-shepherd,60-65,30-40,10-13,Germany
greater-swiss-mountain-dog,60-72,59-61,10-12,Switzerland
basset,30–38,23–29,10-12,France
australian-terrier,23-28,4-6,12-15,Australia
schipperke,21-33,5.5-8,13-15,Belgium
rhodesian-ridgeback,63-69,36-41,10-12,Zimbabwe
irish-setter,66-71,29-34,12-14,Ireland
appenzeller,52–56,22–32,12-14,Switzerland
bloodhound,41-50,63-69,10-12,France
samoyed,53-60,20.5-30,12-14,Russia
miniature-schnauzer,35.6,5.0-8.2,12-14,Germany
brittany-spaniel,47–52,14–18,14-15,France
kelpie,46–51,14–21,12–15,Australia
papillon,20-28,4-5,13-16,Spain
border-collie,48-56,14-20,12-15,England
entlebucher,44–52,20–30,11-15,Switzerland
collie,48-56,14-20,10-14,Australia
malamute,61–66,36–43,10-12,Alaska
welsh-springer-spaniel,46–48,18–25,12-15,Wales
chihuahua,15-23,1-3,14-18,Mexico
saluki,58-71,13-30,12-14,FertileCrescent
pug,30-36,6-9,12-15,China
malinois,61–66,29–34,12-14,Belgium
komondor,65,59,10-12,Hungary
airedale,58–61,23–29,10-12,England
leonberg,72–80,48–75,8-9,Germany
mexican-hairless,24-32,4-25,12-15,Mexico
bull-mastiff,64–68,50–59,8-10,GreatBritain
bernese-mountain-dog,61–71,38–50,7-10,Switzerland
american-staffordshire-terrier,43-48,25-30,12-14,UnitedStates
lhasa,25–28,6–8,12-14,Tibet
cardigan,27–32,11–17,12-15,Wales
italian-greyhound,32–38,3.6-5,12-15,Italy
clumber,46–51,32–39,10-12,England
scotch-terrier,25–28,8.5–10,12-15,Scotland
afghan-hound,68–74,26–34,12-14,Afghanistan
old-english-sheepdog,56-61,29,10-12,England
saint-bernard,70–90,64-120,8-10,Switzerland
miniature-pinscher,25–30,4–5,15,Germany
eskimo-dog,15-25,8.2-16,13-15,UnitedStates
irish-wolfhound,71-90,40-69,6-10,Ireland
brabancon-griffon,24-32,15-23,10-15,Belgium
